,MSE,Image File Name
13194,0.0,Geolife_trajectory507.png
12427,0.007971928021796304,Geolife_trajectory438.png
10063,0.008530646389538932,Geolife_trajectory2251.png
18376,0.009392141347693117,Geolife_trajectory9734.png
13202,0.009560009465809649,Geolife_trajectory5077.png
16838,0.009877599911986834,Geolife_trajectory835.png
3765,0.009892288979478081,Geolife_trajectory13387.png
15488,0.009923311584833838,Geolife_trajectory7134.png
11538,0.010099194527453947,Geolife_trajectory358.png
12627,0.010140484790319093,Geolife_trajectory456.png
391,0.010169885511076393,Geolife_trajectory1035.png
233,0.01028261279393261,Geolife_trajectory10207.png
15081,0.01028445361865532,Geolife_trajectory6769.png
12533,0.010293624767182652,Geolife_trajectory4475.png
11838,0.010331112656641273,Geolife_trajectory385.png
18324,0.010408596324996966,Geolife_trajectory9688.png
77,0.010437640406288085,Geolife_trajectory10067.png
1835,0.010499692877945388,Geolife_trajectory1165.png
12629,0.01051097853245414,Geolife_trajectory4561.png
1898,0.0105466488875669,Geolife_trajectory11706.png
13128,0.01055624251164583,Geolife_trajectory501.png
311,0.01057814191341555,Geolife_trajectory10278.png
17849,0.010663509073644883,Geolife_trajectory926.png
14584,0.010674437140898219,Geolife_trajectory6320.png
11182,0.010679731254228608,Geolife_trajectory3259.png
18316,0.01074970595651309,Geolife_trajectory9680.png
13444,0.010754168639470985,Geolife_trajectory5295.png
11583,0.010767062311354048,Geolife_trajectory362.png
16830,0.01080352566353926,Geolife_trajectory8342.png
11282,0.010816655722703128,Geolife_trajectory3349.png
12095,0.010826164445971898,Geolife_trajectory4080.png
8021,0.010877822188213537,Geolife_trajectory17217.png
13523,0.010879447218240135,Geolife_trajectory5366.png
17229,0.01092121137973645,Geolife_trajectory8701.png
3917,0.010931296061084006,Geolife_trajectory13523.png
18310,0.010933743622714542,Geolife_trajectory9675.png
15453,0.010987207619632844,Geolife_trajectory7102.png
16742,0.01100514689506954,Geolife_trajectory8263.png
7368,0.011011894075602435,Geolife_trajectory1663.png
13071,0.011019422985290128,Geolife_trajectory496.png
9854,0.011046303865759222,Geolife_trajectory2063.png
14961,0.011062435246805336,Geolife_trajectory6660.png
14681,0.011065506865826913,Geolife_trajectory6408.png
13354,0.011076403747904418,Geolife_trajectory5213.png
9260,0.011085163052129587,Geolife_trajectory18332.png
1414,0.011092918802373175,Geolife_trajectory11270.png
17614,0.011098107887000108,Geolife_trajectory9048.png
