,MSE,Image File Name
11645,0.0,Geolife_trajectory3676.png
11873,0.0004770641712585344,Geolife_trajectory3881.png
11656,0.0009240757769793939,Geolife_trajectory3686.png
11803,0.0012537050612409506,Geolife_trajectory3818.png
11695,0.0017042869996721777,Geolife_trajectory3720.png
11637,0.00204275562829892,Geolife_trajectory3669.png
11825,0.0021542794726552295,Geolife_trajectory3838.png
11845,0.0041570115890640635,Geolife_trajectory3856.png
11772,0.006113134292198841,Geolife_trajectory3790.png
11856,0.006239236066221676,Geolife_trajectory3866.png
11875,0.006464802872814368,Geolife_trajectory3883.png
11679,0.007644093691576093,Geolife_trajectory3706.png
11722,0.008010515786662342,Geolife_trajectory3745.png
12051,0.011496323328307578,Geolife_trajectory4040.png
10628,0.011838055847625595,Geolife_trajectory2760.png
493,0.01197361576944489,Geolife_trajectory10441.png
14443,0.012219475493727872,Geolife_trajectory6194.png
7875,0.012273828410996168,Geolife_trajectory17086.png
11172,0.012318199501032912,Geolife_trajectory325.png
13324,0.012333903189288675,Geolife_trajectory5187.png
11757,0.012386263426983457,Geolife_trajectory3777.png
11828,0.012405315549648521,Geolife_trajectory3840.png
7108,0.012463476205645863,Geolife_trajectory16396.png
12628,0.012469186490679462,Geolife_trajectory4560.png
18124,0.012561759203392031,Geolife_trajectory9507.png
16072,0.01259691781378608,Geolife_trajectory7660.png
14692,0.012607093584885765,Geolife_trajectory6418.png
15996,0.01260985480448401,Geolife_trajectory7592.png
9599,0.012714906385153879,Geolife_trajectory18638.png
17486,0.01273101977742186,Geolife_trajectory8933.png
11835,0.012747510747660451,Geolife_trajectory3847.png
13355,0.01278524305758777,Geolife_trajectory5214.png
11793,0.012791311247886517,Geolife_trajectory3809.png
17739,0.01281312742704882,Geolife_trajectory9160.png
11561,0.012834938285624431,Geolife_trajectory360.png
11424,0.012875092699946189,Geolife_trajectory3477.png
11836,0.012880574811986456,Geolife_trajectory3848.png
7914,0.012930807318214,Geolife_trajectory17120.png
16937,0.012937783531714042,Geolife_trajectory8439.png
11887,0.012969743115002708,Geolife_trajectory3894.png
11838,0.012972449390084795,Geolife_trajectory385.png
450,0.012977248265784502,Geolife_trajectory10402.png
7871,0.012977422480530132,Geolife_trajectory17082.png
10777,0.012993739301181084,Geolife_trajectory2895.png
15498,0.012996678137810969,Geolife_trajectory7143.png
4830,0.013030355209217637,Geolife_trajectory14345.png
16655,0.013051034755751867,Geolife_trajectory8185.png
9257,0.013064678044204692,Geolife_trajectory1833.png
16563,0.013064678044204692,Geolife_trajectory8101.png
16742,0.013075966030446862,Geolife_trajectory8263.png
424,0.013089102015680365,Geolife_trajectory1038.png
11880,0.013111405584498415,Geolife_trajectory3888.png
18186,0.0131161744239785,Geolife_trajectory9563.png
13368,0.0131340381446588,Geolife_trajectory5226.png
13340,0.013135225893289193,Geolife_trajectory5200.png
12098,0.013150994627913692,Geolife_trajectory4083.png
14679,0.013157766464715115,Geolife_trajectory6406.png
13314,0.013159489837358707,Geolife_trajectory5178.png
5002,0.013164606288424974,Geolife_trajectory1450.png
4293,0.013174551430378156,Geolife_trajectory13862.png
11788,0.013192808312127213,Geolife_trajectory3804.png
13268,0.013200811370350729,Geolife_trajectory5136.png
15613,0.013207650252435033,Geolife_trajectory7247.png
18336,0.013207666852779743,Geolife_trajectory9699.png
16953,0.013222327932434053,Geolife_trajectory8453.png
10450,0.013222926537706958,Geolife_trajectory260.png
3884,0.013227568842355486,Geolife_trajectory13494.png
15520,0.013227745557040982,Geolife_trajectory7163.png
12813,0.013232364537130337,Geolife_trajectory4727.png
13376,0.013249455022542544,Geolife_trajectory5233.png
10633,0.013250712179064372,Geolife_trajectory2765.png
18129,0.013264266980126116,Geolife_trajectory9511.png
3472,0.013284279174822666,Geolife_trajectory13122.png
11438,0.013317487878842793,Geolife_trajectory349.png
18653,0.013323607291133743,Geolife_trajectory9984.png
18041,0.01332525477473473,Geolife_trajectory9432.png
14558,0.013354031645108677,Geolife_trajectory6298.png
5076,0.013361869382591984,Geolife_trajectory14567.png
11324,0.013364949113737534,Geolife_trajectory3387.png
1890,0.013368251792372887,Geolife_trajectory117.png
