,MSE,DataNumber
0,0.01877001575356768,1000832th data
1,0.017452033424093905,100288th data
2,0.01784642310792639,1004928th data
3,0.016701769026407687,1012608th data
4,0.026499105263125933,1016832th data
5,0.01613740357575094,1019392th data
6,0.025803716747773264,1035584th data
7,0.02204119326396392,1040704th data
8,0.027937591995734812,1041472th data
9,0.023162894218769547,104384th data
10,0.030410130748536768,1054144th data
11,0.01979569272712356,1059072th data
12,0.019630392047652157,1062208th data
13,0.02050686732526319,1069568th data
14,0.01766286620667007,1073088th data
15,0.024769763190599536,1073792th data
16,0.02079396887127427,1082880th data
17,0.01805275689785507,1083776th data
18,0.022253923154507138,1087488th data
19,0.021956744580240495,1092352th data
20,0.02370785459722402,110016th data
21,0.019667085635391768,1102016th data
22,0.0185369502174913,1129792th data
23,0.02361299357424501,1143040th data
24,0.013907927889580007,1153600th data
25,0.017329570481000867,1166912th data
26,0.025422923646319262,1178240th data
27,0.01813307290076477,1183040th data
28,0.02739015624022001,130368th data
29,0.01586799815973644,13120th data
30,0.02529872877895939,131712th data
31,0.01679263180360807,14208th data
32,0.029089449169247272,151040th data
33,0.024872244321624715,161344th data
34,0.020608034205199466,162112th data
35,0.02140044433679872,162624th data
36,0.021577209432282307,178432th data
37,0.020192510089810323,183808th data
38,0.0204408406980488,187072th data
39,0.018447677337858848,187264th data
40,0.025229751997191796,200704th data
41,0.020398279927413776,223552th data
42,0.024709483281482703,233728th data
43,0.022325897004733475,235200th data
44,0.012252699952494728,236864th data
45,0.018408181514731448,242688th data
46,0.028783023454265033,243200th data
47,0.022206196170200254,245504th data
48,0.017966407991120037,253696th data
49,0.013155378299589404,255808th data
50,0.029994482569542735,262528th data
51,0.02090047954102625,26432th data
52,0.01457077976753024,267904th data
53,0.021175054849515873,268288th data
54,0.017405447546750608,268480th data
55,0.014529594798677437,269248th data
56,0.015623909355962473,269888th data
57,0.016206330766505628,274240th data
58,0.01650731436516173,274816th data
59,0.01570642428933039,275072th data
60,0.01650144567871792,277696th data
61,0.032854875270785455,277952th data
62,0.014764676143871391,278208th data
63,0.016609211125972412,281024th data
64,0.018039459961543713,281472th data
65,0.01897886939432769,329920th data
66,0.020446669684728747,351552th data
67,0.028724129645532226,351744th data
68,0.017452033424093905,354240th data
69,0.013504389422255736,356864th data
70,0.023076801894475807,368896th data
71,0.025993730480555366,373888th data
72,0.017367895052629256,383232th data
73,0.021896461562148972,387008th data
74,0.02680122702996035,392064th data
75,0.016341545384928158,39744th data
76,0.03198656834737729,397504th data
77,0.03147540329879872,401472th data
78,0.026583076979524833,402048th data
79,0.01808869369628846,402752th data
