,MSE,DataNumber
77,0.019667085635391768,1102016th data
78,0.022268991352013434,1104128th data
79,0.026374593449688843,1108160th data
80,0.02541116039758634,1120192th data
81,0.015330238254525563,1124288th data
82,0.02261020729532942,1128576th data
83,0.0185369502174913,1129792th data
84,0.01822519785001081,1133696th data
85,0.020387604709610152,1136960th data
86,0.02793169101581755,1140928th data
87,0.023449110723649302,1141632th data
88,0.02361299357424501,1143040th data
89,0.025063148989933004,1143744th data
90,0.020155827117190606,1145920th data
91,0.013365777188116101,1151360th data
92,0.020633398753256538,1151808th data
93,0.027280538376398156,1153280th data
94,0.013907927889580007,1153600th data
95,0.029331270721678238,1156544th data
96,0.027498915434778837,1157056th data
97,0.025646128300974014,1157952th data
98,0.017329570481000867,1166912th data
99,0.011997163749219164,1167104th data
100,0.015127248274045324,1167616th data
101,0.01926057343388249,1167808th data
102,0.020939929093026,1174592th data
103,0.02373313220839296,1175488th data
104,0.021965186971347195,1177920th data
105,0.025422923646319262,1178240th data
106,0.015663719045626523,1179584th data
107,0.01813307290076477,1183040th data
108,0.019366232243358705,119936th data
109,0.015852253736898025,12288th data
110,0.022028970740622877,125504th data
111,0.02739015624022001,130368th data
112,0.013235109586754223,130496th data
113,0.018997290785822574,130816th data
114,0.018539997072355208,130880th data
115,0.01586799815973644,13120th data
116,0.02529872877895939,131712th data
117,0.014341698635512101,131776th data
118,0.02803973806081389,132288th data
119,0.018134180932448785,133760th data
120,0.018427223325136854,135040th data
121,0.014946664526829079,135744th data
122,0.0210293368218602,138496th data
123,0.02106632534266928,140544th data
124,0.015395407673374273,141056th data
125,0.01679263180360807,14208th data
126,0.026298592499996665,145472th data
127,0.0189870465446208,149632th data
128,0.029089449169247272,151040th data
129,0.021489015343513995,15232th data
130,0.023330600629432874,153856th data
131,0.020100677927057387,156160th data
132,0.02099232763488812,159680th data
133,0.02161121006981187,160320th data
134,0.017521338181352708,160448th data
135,0.024872244321624715,161344th data
136,0.020608034205199466,162112th data
137,0.02140044433679872,162624th data
138,0.016762116680780592,165056th data
139,0.026151683778240897,169856th data
140,0.021462338320827723,171584th data
141,0.021577209432282307,178432th data
142,0.022556320567371668,179968th data
143,0.01482554377903833,182272th data
144,0.022607008576901066,18304th data
145,0.020665898221204126,183296th data
146,0.020192510089810323,183808th data
147,0.017065738055259072,185664th data
148,0.0204408406980488,187072th data
149,0.018447677337858848,187264th data
150,0.018991903404763866,189376th data
151,0.019261474045659588,189440th data
152,0.015358754210696879,199872th data
153,0.017428070976325982,200192th data
154,0.025229751997191796,200704th data
155,0.012597779664310027,206016th data
156,0.023639998074735658,20608th data
157,0.01993437475473725,206784th data
158,0.019063384758492785,208064th data
159,0.01698209094841685,211648th data
160,0.01730360661284236,214720th data
161,0.020398279927413776,223552th data
162,0.02746190009871491,224640th data
163,0.01839146343235759,230272th data
164,0.024709483281482703,233728th data
165,0.022325897004733475,235200th data
166,0.012252699952494728,236864th data
167,0.01997161577002321,241152th data
168,0.018408181514731448,242688th data
169,0.028783023454265033,243200th data
170,0.022206196170200254,245504th data
171,0.012274393910319537,249088th data
172,0.016140285257143117,250240th data
173,0.03280054144361905,252096th data
174,0.017966407991120037,253696th data
175,0.013155378299589404,255808th data
176,0.01846090478541873,259584th data
177,0.010894849249462157,260672th data
178,0.029994482569542735,262528th data
179,0.02090047954102625,26432th data
180,0.015300262558235966,264512th data
181,0.02431491620201287,265472th data
182,0.023988307490172,265856th data
183,0.023334408665151907,266240th data
184,0.02014734047065403,266816th data
185,0.016412720478493126,267200th data
186,0.015517099917409183,267520th data
187,0.016399056156068736,267648th data
188,0.01457077976753024,267904th data
189,0.026003362665633745,267968th data
190,0.021175054849515873,268288th data
191,0.017405447546750608,268480th data
192,0.014529594798677437,269248th data
193,0.015623909355962473,269888th data
194,0.01827553030476642,270144th data
195,0.015527883832069711,272064th data
196,0.01681455429904427,272960th data
197,0.023219542186189546,273792th data
198,0.016206330766505628,274240th data
199,0.01650731436516173,274816th data
200,0.01570642428933039,275072th data
201,0.014931219965865328,275392th data
202,0.01650144567871792,277696th data
203,0.02476529932529481,277888th data
204,0.032854875270785455,277952th data
205,0.014764676143871391,278208th data
206,0.016766126056321773,278400th data
207,0.016609211125972412,281024th data
208,0.018039459961543713,281472th data
209,0.03043700265819549,284672th data
210,0.01674853740141491,288064th data
211,0.01725979872775879,288960th data
212,0.018589813605876082,300032th data
213,0.024602595406512273,303360th data
214,0.017961902175312072,30336th data
215,0.013295838684293904,307712th data
216,0.0259438847364456,318656th data
217,0.014431144782019067,319616th data
218,0.020296431140178484,321088th data
219,0.018146760549067054,321664th data
220,0.022222114227973266,322816th data
221,0.0236407187236764,323008th data
222,0.022293675773427113,323072th data
223,0.03209612029748926,323712th data
224,0.0223097959782409,324032th data
225,0.02219784582419626,324160th data
226,0.018445342300079326,324736th data
227,0.01897886939432769,329920th data
228,0.021356213478438968,334528th data
229,0.023144900225765153,335424th data
230,0.01744222669013723,336576th data
231,0.01884061650599944,336960th data
232,0.02951823801809844,338944th data
233,0.01878765025279866,33920th data
234,0.025780658592560624,340544th data
235,0.02369830818016816,34176th data
236,0.023468523627545534,342912th data
237,0.01604718060013305,343296th data
238,0.019461753911056978,343616th data
239,0.01834813820370612,345472th data
240,0.01732107649834086,347136th data
241,0.015663719045626523,349184th data
242,0.02891528697562551,351104th data
243,0.020446669684728747,351552th data
244,0.028724129645532226,351744th data
245,0.017452033424093905,354240th data
246,0.02394622209729197,354752th data
247,0.020693142988698954,355200th data
248,0.01850703722302144,355264th data
249,0.021623768562663293,355520th data
250,0.021139745993265957,356672th data
251,0.013504389422255736,356864th data
252,0.019739449532944153,356928th data
253,0.015515619435250705,357696th data
254,0.018202767528408215,360448th data
255,0.01875159555730299,361024th data
256,0.022792624343618506,361664th data
257,0.018565892898172454,361792th data
258,0.016801454469816846,361920th data
259,0.016829459980077732,362176th data
260,0.01659052871593214,363648th data
261,0.020249590094874537,364736th data
262,0.023076801894475807,368896th data
263,0.01758984050068224,370816th data
264,0.018190348703815418,371392th data
265,0.02737369056485056,371520th data
266,0.019908722548780677,371776th data
267,0.01683240218259685,372928th data
268,0.025993730480555366,373888th data
269,0.020120214617549148,373952th data
270,0.01981381282849315,374784th data
271,0.0185557623160158,376064th data
272,0.020125205940828228,378240th data
273,0.01495147479044745,378816th data
274,0.02568825820095816,379904th data
275,0.017258348185555217,380224th data
276,0.02085688852054074,381504th data
277,0.017367895052629256,383232th data
278,0.022159241374376637,383680th data
279,0.01823781914415773,38400th data
280,0.014145803929990763,384768th data
281,0.01624299419910835,38592th data
282,0.018085687223063696,386880th data
283,0.021896461562148972,387008th data
284,0.02205284700920196,387136th data
285,0.021227456846280468,388992th data
286,0.016127702937085986,389376th data
287,0.019923863777459805,3904th data
288,0.015669256939187137,390784th data
289,0.026189722564359807,391552th data
290,0.023081334565452638,392000th data
291,0.02680122702996035,392064th data
292,0.02111536976800199,39232th data
293,0.017667103033488785,393088th data
294,0.01993082470980556,394112th data
295,0.016844720753507736,394880th data
296,0.023507832292027186,395776th data
297,0.024934310224247636,396480th data
298,0.019704688276827587,397376th data
299,0.016341545384928158,39744th data
300,0.03198656834737729,397504th data
301,0.03248216993309805,398656th data
302,0.03147540329879872,401472th data
303,0.0165910290778693,401920th data
304,0.026583076979524833,402048th data
305,0.013064773649364092,402368th data
306,0.01808869369628846,402752th data
307,0.013365777188116101,407552th data
308,0.020633398753256538,411776th data
309,0.01779115040343876,41280th data
310,0.025574649454807863,414336th data
311,0.023087294111550583,414400th data
312,0.026229010653030682,414464th data
313,0.023512886456491577,414528th data
314,0.023007485906564873,414592th data
315,0.021920358128634354,414720th data
316,0.024154458758274766,414784th data
317,0.02457858445803457,414848th data
318,0.023457349076023093,415040th data
319,0.024181601492531957,415232th data
320,0.02281125956983604,415488th data
321,0.02491662152251367,415552th data
322,0.03261585165131248,415744th data
323,0.02072283046932727,416000th data
324,0.026190701156429297,416128th data
325,0.02307733180894661,416384th data
326,0.023977690704734544,416448th data
327,0.025736491672970374,416640th data
328,0.023071601963368826,41664th data
329,0.022317078787148947,416704th data
330,0.019416051223188735,416832th data
331,0.024856508038786695,417216th data
332,0.026858509277093823,417280th data
333,0.023986424283940322,41792th data
334,0.019760563998099334,41856th data
335,0.01877001575356768,419584th data
336,0.019974608334103416,41984th data
337,0.03280644708006836,419904th data
338,0.01807686092897931,42176th data
339,0.019693217472863067,42304th data
340,0.02016605731743565,42368th data
341,0.02029109921419897,42432th data
342,0.03568005744402025,425600th data
343,0.01978100351565165,42560th data
344,0.027280538376398156,425984th data
345,0.031749193755639726,426880th data
346,0.02179084256323177,427200th data
347,0.013907927889580007,429632th data
348,0.020461529992758076,43008th data
349,0.020064320429715066,43136th data
350,0.02070519448904029,43264th data
351,0.01880346025637758,43392th data
352,0.01849735792670293,434048th data
353,0.020426632052699456,43648th data
354,0.022755599521610437,43776th data
355,0.018597811161125632,439488th data
356,0.020082063659853544,44032th data
357,0.022315939245635852,442816th data
358,0.03195480207482981,448384th data
359,0.028653824794005134,448896th data
360,0.026383492250755813,449152th data
361,0.023561980043140585,45312th data
362,0.029161362572242666,457792th data
363,0.02545576597905258,459584th data
364,0.020870687688093137,459904th data
365,0.02777652302755479,461312th data
366,0.015473672950220396,465152th data
367,0.0141738442983938,46976th data
368,0.023404679253586136,470592th data
369,0.02345422003226516,472320th data
370,0.03464210890762348,472640th data
371,0.020262010845405853,473856th data
372,0.018981637196182344,478336th data
373,0.028322331148441404,478528th data
374,0.020216378498853438,478592th data
375,0.026481513375937626,478848th data
376,0.03143422149824432,479040th data
377,0.020348107806271,480320th data
378,0.037762029234793604,483008th data
379,0.01637161855838737,48320th data
380,0.025053733211835738,485312th data
381,0.01701120303529685,485760th data
382,0.02557315181060782,485888th data
383,0.02410306654498834,489408th data
384,0.022745278324639018,490944th data
385,0.02629620654421866,491328th data
386,0.02099899268527411,492160th data
387,0.016971515562538397,494848th data
388,0.015619541177502805,494976th data
389,0.016609094196248453,495424th data
390,0.020082897144508782,497344th data
391,0.01809444494788348,497408th data
392,0.01751729624137177,502016th data
393,0.015031748182554872,502720th data
394,0.01506834799757878,503872th data
395,0.013943674228194314,513536th data
396,0.020238607315307466,515648th data
397,0.018085687223063696,519552th data
398,0.021896461562148972,519616th data
399,0.02205284700920196,519744th data
400,0.03261585165131248,521600th data
401,0.03280644708006836,521856th data
402,0.018597811161125632,526848th data
403,0.022315939245635852,528192th data
404,0.03195480207482981,528896th data
405,0.028653824794005134,529088th data
406,0.03082047416604572,529344th data
407,0.026383492250755813,530304th data
408,0.029161362572242666,531328th data
409,0.023404679253586136,532800th data
410,0.02005974942438754,532928th data
411,0.0199111232821379,533056th data
412,0.024496033428952735,533312th data
413,0.020645593676236584,533696th data
414,0.019083063190570848,533952th data
415,0.0198293071914295,534208th data
416,0.020534642780482948,534336th data
417,0.019991497177468676,535232th data
418,0.020037917762154633,535488th data
419,0.017285100593819547,535808th data
420,0.02013552789918238,536384th data
421,0.022747127174125692,536576th data
422,0.020437308310445323,536640th data
423,0.02075668720548235,537920th data
424,0.023001663361745806,538752th data
425,0.020385235860443107,540224th data
426,0.020222346079114606,543104th data
427,0.01613003205791147,5440th data
428,0.022669707555904306,551296th data
429,0.02629620654421866,553088th data
430,0.02485546292658941,555136th data
431,0.022945589590877558,556992th data
432,0.02429476190179941,558016th data
433,0.014227964124474468,561920th data
434,0.022145349559033523,563904th data
435,0.01554599351897562,567168th data
436,0.01628463555654669,572544th data
437,0.02739764247514348,572928th data
438,0.017268730300522672,577280th data
439,0.02066606540955268,579648th data
440,0.01597674740205768,583168th data
441,0.025188945850218858,583488th data
442,0.023845337903197372,583552th data
443,0.031276172681476755,587904th data
444,0.024882722850199157,588672th data
445,0.022820750321430883,592320th data
446,0.021643486945586377,595008th data
447,0.016048610245614714,5952th data
448,0.030303033403523416,595520th data
449,0.024448908211666176,599168th data
450,0.01900932282481005,59968th data
451,0.03154567458297114,600192th data
452,0.02222921164989161,601536th data
453,0.025729990535777847,60288th data
454,0.01879755230336483,604352th data
455,0.014965336471505386,604672th data
456,0.02200757645643442,60736th data
457,0.0268838262051872,61184th data
458,0.020858654477746708,615168th data
459,0.02713597094726733,624960th data
460,0.02713597094726733,625024th data
461,0.02678187355508138,628800th data
462,0.02525616023157551,629184th data
463,0.023590525073660384,629376th data
464,0.023101367522128657,631296th data
465,0.017583266814311105,631744th data
466,0.0213634557087532,632256th data
467,0.026108308879427444,633344th data
468,0.024562059436261607,636416th data
469,0.03710126588105045,638144th data
470,0.01597364814124652,638464th data
471,0.02446799225211177,639232th data
472,0.022869786784869506,639744th data
473,0.023528662068809214,642432th data
474,0.026427770049948562,642688th data
475,0.02529069981922466,643008th data
476,0.019268399793984092,64320th data
477,0.029701501584750323,643328th data
478,0.021699526250789525,649088th data
479,0.0291406697079577,650240th data
480,0.02048492321068429,650368th data
481,0.033411130818255974,650432th data
482,0.03126163323391745,652928th data
483,0.0318043605466613,653504th data
484,0.028927245336123675,654784th data
485,0.01915515555709313,659072th data
486,0.022787851636256018,659264th data
487,0.026732575868923136,659904th data
488,0.023833813123961323,660864th data
489,0.035465889773398485,661504th data
490,0.026033687219940205,66496th data
491,0.020753408230583692,665856th data
492,0.019161178059116657,666112th data
493,0.028645136940266325,668288th data
494,0.021991348943951217,669888th data
495,0.021956744580240495,67008th data
496,0.02990298280996373,670272th data
497,0.024476016697092984,672064th data
498,0.019263133601061022,672960th data
499,0.025165154646042742,673728th data
500,0.02019921101084604,673984th data
501,0.021466866338348822,674048th data
502,0.029939008869497075,674688th data
503,0.0201956753116041,675712th data
504,0.024939917643604037,676416th data
505,0.025119567419640276,677504th data
506,0.02538191438641052,678144th data
507,0.030603814492433712,678272th data
508,0.027993091384198254,678656th data
509,0.021918856393223773,678976th data
510,0.02694776799694093,679168th data
511,0.01888798331156155,679232th data
512,0.016830660593630975,679424th data
513,0.024187970918964685,679552th data
514,0.028667729649576146,679808th data
515,0.025394316793124816,679872th data
516,0.024674051476997083,681024th data
517,0.019517535247467688,683648th data
518,0.013946457378286203,684096th data
519,0.0239872349030833,684352th data
520,0.021829337371067126,684544th data
521,0.035556040694872004,68480th data
522,0.01587256508738022,689408th data
523,0.02487704398426399,689664th data
524,0.01999004013628325,691584th data
525,0.01480985020376846,692032th data
526,0.023386279933169607,692288th data
527,0.021818073017124517,69760th data
528,0.017786573834823904,698816th data
529,0.02299260415725135,699328th data
530,0.02417148930573093,701504th data
531,0.023290779706837406,706304th data
532,0.020770990651807486,712000th data
533,0.021324682671343353,712704th data
534,0.021244479475397315,712768th data
535,0.015641889393800845,713216th data
536,0.018676768662753584,713600th data
537,0.032886720505833966,718272th data
538,0.02274354364699188,720000th data
539,0.0195756796773639,720832th data
540,0.023329931105633972,721344th data
541,0.01302830922786119,722240th data
542,0.015908801591628274,722944th data
543,0.017865102097403884,724480th data
544,0.02295889340444851,725376th data
545,0.016447971087915292,726464th data
546,0.02033607465544074,729088th data
547,0.022027101512267444,729536th data
548,0.015162745968199998,730368th data
549,0.013601343816160516,73152th data
550,0.02336367846471671,732416th data
551,0.017159716098642752,732928th data
552,0.01899762318442394,733056th data
553,0.02314434285048783,733568th data
554,0.018670305714674984,733824th data
555,0.01568830009371236,733888th data
556,0.025226621417402006,734016th data
557,0.019002554062292842,736576th data
558,0.020139118551240898,737088th data
559,0.0165844169484195,737600th data
560,0.0198598998141033,738112th data
561,0.021240969751384176,739072th data
562,0.023093857844995125,740544th data
563,0.019863477229181026,740928th data
564,0.013951195812079042,742656th data
565,0.01499361417499806,743168th data
566,0.019099092409004648,744704th data
567,0.018694037355899307,745088th data
568,0.021036440163892778,74624th data
569,0.0163702051828451,747072th data
570,0.01613003205791147,74880th data
571,0.017726905361876155,750336th data
572,0.018439515789380467,750912th data
573,0.0165361746205811,751168th data
574,0.028052657010323556,75200th data
575,0.025869929489391208,754496th data
576,0.01576624290288725,756608th data
577,0.024501333217276544,758144th data
578,0.018494367260263822,758208th data
579,0.015688912734095783,765632th data
580,0.018459398904758062,765760th data
581,0.03229138260293918,766272th data
582,0.017441011139251006,768320th data
583,0.017835763989768938,774336th data
584,0.015325657708806395,774400th data
585,0.03099307542497043,775552th data
586,0.021801485153869204,776384th data
587,0.01751898869446228,781440th data
588,0.024284165898991183,789504th data
589,0.025188945850218858,79168th data
590,0.023845337903197372,79232th data
591,0.02056957192150921,79808th data
592,0.024052549583161054,800896th data
593,0.0151522943986786,802624th data
594,0.02460301200696402,803520th data
595,0.024604076439570022,809472th data
596,0.024953934691871238,810048th data
597,0.023295476703467433,810304th data
598,0.016787845778941435,812352th data
599,0.025952534588253806,812992th data
600,0.02309067819560562,813376th data
601,0.027699782006871343,814144th data
602,0.02545063966406047,814336th data
603,0.020808323504827086,814592th data
604,0.02105281256995445,814784th data
605,0.020285889544305657,815168th data
606,0.024427100405658042,815296th data
607,0.02282896685568575,816064th data
608,0.025731241995418208,816192th data
609,0.02381888671685195,816512th data
610,0.025756145318404144,817408th data
611,0.022536478218375677,817728th data
612,0.02493073569592641,817856th data
613,0.027223845636534794,818688th data
614,0.0199678418104407,819392th data
615,0.019718138732925106,819456th data
616,0.0239301128350195,819776th data
617,0.026184061213950005,819840th data
618,0.018145376134256763,820096th data
619,0.014834715541100829,821440th data
620,0.021885880501685218,829120th data
621,0.029843505978990215,829312th data
622,0.015579287269193276,829952th data
623,0.02194344616763122,830528th data
624,0.02525412156163237,830720th data
625,0.015678084212786436,834240th data
626,0.025820769023140844,838080th data
627,0.031276172681476755,83840th data
628,0.015238662883892196,839488th data
629,0.025275187303807956,844032th data
630,0.027833004446166265,844288th data
631,0.028133592862141454,846400th data
632,0.02158557887685586,846592th data
633,0.021239547361203426,850048th data
634,0.025177700257219493,851840th data
635,0.01864033293415651,853120th data
636,0.019982375169033284,853888th data
637,0.01691632872101745,854528th data
638,0.02055810425604937,856384th data
639,0.017865511184916805,856768th data
640,0.020341586744670626,857728th data
641,0.015360260453458396,858560th data
642,0.018307003029156055,858624th data
643,0.013852649539337014,861632th data
644,0.01682554094177746,862656th data
645,0.02691948640906433,863680th data
646,0.02598144788393192,863872th data
647,0.021897429160421977,864448th data
648,0.016968192922897696,864512th data
649,0.015138306981992034,86464th data
650,0.015738288109339582,865728th data
651,0.02260180448324378,867712th data
652,0.016881529192379063,868480th data
653,0.02633281806101273,8704th data
654,0.023173322076626923,874432th data
655,0.022518511423270438,875136th data
656,0.01956400134945052,876096th data
657,0.02911081729245668,880896th data
658,0.02147313649553173,881152th data
659,0.022894693166860047,881216th data
660,0.022914064656903488,883072th data
661,0.018688414240966122,8832th data
662,0.027698611466293266,883392th data
663,0.026693285613475337,885760th data
664,0.017278394074594916,89024th data
665,0.016108790848945398,891072th data
666,0.01684610312322904,891392th data
667,0.020213834430225508,892224th data
668,0.03422815492643033,892864th data
669,0.034863792491358736,893248th data
670,0.02390735973985514,893888th data
671,0.03450785839020187,893952th data
672,0.027012172625915765,895936th data
673,0.03137298342060485,896000th data
