,MSE,DataNumber
94,0.30175629859077185,1153600th data
95,0.9091050108340006,1156544th data
96,0.8086201329696974,1157056th data
97,0.7733851928139244,1157952th data
98,0.40872330934761175,1166912th data
99,0.26271795474998166,1167104th data
100,0.3415619016335223,1167616th data
101,0.49110718168071804,1167808th data
102,0.6537100909639479,1174592th data
103,0.5220785631560378,1175488th data
104,0.5913827856713658,1177920th data
105,0.7093358226105553,1178240th data
106,0.3718361627353444,1179584th data
107,0.4658986559274561,1183040th data
108,0.485549720291274,119936th data
109,0.3318210855769941,12288th data
110,0.5943104566782944,125504th data
111,0.7025938584315716,130368th data
112,0.27239306233947347,130496th data
113,0.4331831586331101,130816th data
114,0.508177860783249,130880th data
115,0.2883458354086335,13120th data
116,0.611721689064511,131712th data
117,0.37611430283879926,131776th data
118,0.9705205556882706,132288th data
119,0.5444168545789927,133760th data
120,0.5131071489930283,135040th data
121,0.35732040159365047,135744th data
122,0.6889513374057756,138496th data
123,0.5731896939445571,140544th data
124,0.308665722881381,141056th data
125,0.3181739156426367,14208th data
126,0.5902422056961178,145472th data
127,0.43896170485830077,149632th data
128,0.9835966475811839,151040th data
129,0.5573802794185809,15232th data
130,0.6501158081852898,153856th data
131,0.45372658557245504,156160th data
132,0.6938201433799529,159680th data
133,0.5263770106838632,160320th data
134,0.39985198991828974,160448th data
135,0.7722731842181754,161344th data
136,0.5959291399501292,162112th data
137,0.5278466969899767,162624th data
138,0.34409312449871715,165056th data
139,0.6588139184035295,169856th data
140,0.6401608544318385,171584th data
141,0.7459971668390533,178432th data
142,0.5604208435729428,179968th data
143,0.35617628664843526,182272th data
144,0.7169086456063192,18304th data
145,0.39905469115277814,183296th data
146,0.6046461835874828,183808th data
147,0.5912730917983566,185664th data
148,0.43450350979608704,187072th data
149,0.4429313757626799,187264th data
150,0.49464941771677573,189376th data
151,0.5161751913852639,189440th data
152,0.3486227429198472,199872th data
153,0.40247988790518413,200192th data
154,0.6792977624288155,200704th data
155,0.24744310226196836,206016th data
156,0.6680248136777127,20608th data
157,0.44048016454240924,206784th data
158,0.3753034786758782,208064th data
159,0.39122887924862937,211648th data
160,0.3266478176563261,214720th data
161,0.5014069585179359,223552th data
162,0.7457425882689765,224640th data
163,0.6399022592671493,230272th data
164,0.756835293340842,233728th data
165,0.5741028147902894,235200th data
166,0.23936726536389058,236864th data
167,0.586184549847502,241152th data
168,0.45458803445371476,242688th data
169,0.9632648676199551,243200th data
170,0.5668790599088993,245504th data
171,0.2755573170464834,249088th data
172,0.4086692766458349,250240th data
173,1.0573473418281645,252096th data
174,0.37622559189664195,253696th data
175,0.31223433025996844,255808th data
176,0.4339280794698084,259584th data
177,0.215112677518283,260672th data
178,0.9931254330700492,262528th data
179,0.5661913242861749,26432th data
180,0.3993095371732425,264512th data
181,0.6648916748191402,265472th data
182,0.5358997138074708,265856th data
183,0.6799499419113397,266240th data
184,0.46313318453991315,266816th data
185,0.4049841439244855,267200th data
186,0.3234341395586498,267520th data
187,0.4005126911184256,267648th data
188,0.3363544093678588,267904th data
189,0.771218846617324,267968th data
190,0.5960418187964969,268288th data
191,0.38411196888457516,268480th data
192,0.31782548597885185,269248th data
193,0.3521953299724965,269888th data
194,0.4012943680074282,270144th data
195,0.3473085523511552,272064th data
196,0.38731023007769766,272960th data
197,0.6492179182180884,273792th data
198,0.3527901214329448,274240th data
199,0.3711241870403337,274816th data
200,0.34556400998872144,275072th data
201,0.3437969840297548,275392th data
202,0.36833270040221877,277696th data
203,0.7771959515589169,277888th data
204,0.9857255687387898,277952th data
205,0.3298060259538716,278208th data
206,0.3486132056453508,278400th data
207,0.3642311905568976,281024th data
208,0.4001341233878311,281472th data
209,0.8332206230705062,284672th data
210,0.3731529859833813,288064th data
211,0.3819612887016058,288960th data
212,0.3976437753544282,300032th data
213,0.7749521613307997,303360th data
214,0.3892869525080181,30336th data
215,0.2428062596921699,307712th data
216,0.6442881744167517,318656th data
217,0.3026008360659698,319616th data
218,0.49808551772590054,321088th data
219,0.40021103301534944,321664th data
220,0.6113602287054078,322816th data
