,MSE,DataNumber
0,0.446512878224874,1000832th data
1,0.481764984249268,100288th data
2,0.5583792749500385,1004928th data
3,0.39958676007607746,1012608th data
4,0.6615863020221733,1016832th data
5,0.34442957553383474,1019392th data
6,0.7563180102270464,1035584th data
7,0.6851024671152581,1040704th data
8,0.668921474269736,1041472th data
9,0.5378102890928038,104384th data
10,1.004569179814847,1054144th data
11,0.5231000705048958,1059072th data
12,0.4163941676613101,1062208th data
13,0.5072038170378415,1069568th data
14,0.4522336520559272,1073088th data
15,0.6466684147995672,1073792th data
16,0.5303346018754818,1082880th data
17,0.514385698677962,1083776th data
18,0.5780035615340575,1087488th data
19,0.6724285687024003,1092352th data
20,0.6711603365242178,110016th data
21,0.4992496081957223,1102016th data
22,0.488469259347915,1129792th data
23,0.5552224180294174,1143040th data
24,0.30175629859077185,1153600th data
25,0.40872330934761175,1166912th data
26,0.7093358226105553,1178240th data
27,0.4658986559274561,1183040th data
28,0.7025938584315716,130368th data
29,0.2883458354086335,13120th data
30,0.611721689064511,131712th data
31,0.3181739156426367,14208th data
32,0.9835966475811839,151040th data
33,0.7722731842181754,161344th data
34,0.5959291399501292,162112th data
35,0.5278466969899767,162624th data
36,0.7459971668390533,178432th data
37,0.6046461835874828,183808th data
38,0.43450350979608704,187072th data
39,0.4429313757626799,187264th data
40,0.6792977624288155,200704th data
41,0.5014069585179359,223552th data
42,0.756835293340842,233728th data
43,0.5741028147902894,235200th data
44,0.23936726536389058,236864th data
45,0.45458803445371476,242688th data
46,0.9632648676199551,243200th data
47,0.5668790599088993,245504th data
48,0.37622559189664195,253696th data
49,0.31223433025996844,255808th data
50,0.9931254330700492,262528th data
51,0.5661913242861749,26432th data
52,0.3363544093678588,267904th data
53,0.5960418187964969,268288th data
54,0.38411196888457516,268480th data
55,0.31782548597885185,269248th data
56,0.3521953299724965,269888th data
57,0.3527901214329448,274240th data
58,0.3711241870403337,274816th data
59,0.34556400998872144,275072th data
60,0.36833270040221877,277696th data
61,0.9857255687387898,277952th data
62,0.3298060259538716,278208th data
63,0.3642311905568976,281024th data
64,0.4001341233878311,281472th data
65,0.38810615806427506,329920th data
66,0.4296605711785715,351552th data
67,0.6661238602977542,351744th data
68,0.481764984249268,354240th data
69,0.299661652170663,356864th data
70,0.7166326526591185,368896th data
71,0.8263467257607786,373888th data
72,0.44530195921630966,383232th data
73,0.49600121463866587,387008th data
74,0.8917407843816163,392064th data
75,0.2973807490559486,39744th data
76,0.973074889015503,397504th data
77,0.8207885119287681,401472th data
78,0.6630448983854391,402048th data
79,0.5189620733459699,402752th data
80,0.6507019005717263,414848th data
81,0.9459474374720327,415744th data
82,0.580727258531204,416384th data
83,0.5716476402092354,416448th data
84,0.6570144633709312,416640th data
85,0.446512878224874,419584th data
86,0.8955266560771773,419904th data
87,1.0600589039091837,425600th data
88,0.30175629859077185,429632th data
89,0.6936425258815038,449152th data
90,0.6652312771480249,45312th data
91,0.915077892370717,461312th data
92,0.624814487590504,470592th data
93,1.1939035362746653,472640th data
94,0.9795067772183765,478528th data
95,0.6162326328186118,478592th data
96,0.523958958268135,489408th data
97,0.4530738635294754,497344th data
