0.000, 0.473, 0.456, 0.934, 0.643, 0.397, 0.653, 0.596, 0.206, 0.409, 
0.473, 0.000, 0.623, 0.926, 0.730, 0.522, 0.676, 0.682, 0.467, 0.623, 
0.456, 0.623, 0.000, 1.126, 0.895, 0.647, 0.745, 0.623, 0.697, 0.579, 
0.934, 0.926, 1.126, 0.000, 1.049, 0.600, 0.888, 0.974, 0.920, 1.134, 
0.643, 0.730, 0.895, 1.049, 0.000, 0.664, 0.731, 0.798, 0.717, 0.837, 
0.397, 0.522, 0.647, 0.600, 0.664, 0.000, 0.508, 0.554, 0.515, 0.665, 
0.653, 0.676, 0.745, 0.888, 0.731, 0.508, 0.000, 0.570, 0.789, 0.854, 
0.596, 0.682, 0.623, 0.974, 0.798, 0.554, 0.570, 0.000, 0.742, 0.719, 
0.206, 0.467, 0.697, 0.920, 0.717, 0.515, 0.789, 0.742, 0.000, 0.452, 
0.409, 0.623, 0.579, 1.134, 0.837, 0.665, 0.854, 0.719, 0.452, 0.000, 
